USAF	WBAN	ICAO	STATION
720928	315	KDLZ	DELAWARE MUNICIPAL JIM MOORE FIELD AIRPORT
720929	316	KUBE	CUMERLAND MUNICIPAL AIRPORT
720932	317	K1R7	BROOKHAVEN LINCOLN COUNTY AIRPORT
720943	431	KASL	HARRISON COUNTY AIRPORT
720946	326	KFHB	FERNANDINA BEACH MUNICIPAL AIRPORT
720949	329	KH21	CAMDENTON MEMORIAL AIRPORT
720951	330	KSBO	EAST GEORGIA REGIONAL AIRPORT
720961	336	KGGP	LOGANSPORT CASS COUNTY AIRPORT
720962	337	KEZM	HEART OF GEORGIA REGIONAL AIRPORT
720966	339	K6A2	GRIFFIN SPALDING COUNTY AIRPORT
720968	340	K5W8	SILER CITY MUNICIPAL AIRPORT
720974	344	KBGF	WINCHESTER MUNICIPAL AIRPORT
720976	345	KLSB	LORDSBURG MUNICIPAL AIRPORT
721029	347	KPPO	LA PORTE MUNICIPAL AIRPORT
721031	348	KTHA	TULLAHOMA REGIONAL AIRPORT WILLIAM NORTHERN FIELD
721033	350	KFZG	FITZGERALD MUNICIPAL AIRPORT
721034	351	KT35	CAMERON MUNICIPAL AIRPORT
721034	99999	KT35	CAMERON MUNI AIRPARK
721035	352	KAZE	HAZLEHURST AIRPORT
721042	486	KZPH	ZEPHYRHILLS MUNICIPAL AIRPORT
721044	448	KF46	RALPH M HALL ROCKWALL MUNICIPAL AIRPORT
721045	354	KGPH	MIDWEST NATIONAL AIR CENTER AIRPORT
721045	99999	KGPH	MIDWEST NAT AIR CENTER AIRPORT
721048	471	KPRS	PRESIDIO LELY INTERNATIONAL AIRPORT
722003	54930	KSYN	STANTON AIRFIELD
722003	99999	KSYN	STANTON AIRFIELD
722004	54922	KBWP	HARRY STERN AIRPORT
722006	54926	KLYV	QUENTIN AANENSON FIELD AIRPORT
722007	54828	KCFS	TUSCOLA AREA AIRPORT
722008	12995	KRAS	MUSTANG BEACH AIRPORT
722010	12836	KEYW	KEY WEST INTERNATIONAL AIRPORT
722011	92813	KISM	KISSIMMEE GATEWAY AIRPORT
722014	12818	KBKV	HERNANDO COUNTY AIRPORT
722020	12839	KMIA	MIAMI INTERNATIONAL AIRPORT
722021	92816	KVDF	VANDENBERG AIRPORT
722022	12803	KBCT	BOCA RATON AIRPORT
722024	12882	KOPF	OPA LOCKA AIRPORT
722026	12826	KHST	HOMESTEAD AFB AIRPORT
722030	12844	KPBI	PALM BEACH INTERNATIONAL AIRPORT
722032	54916	KACQ	WASECA MUNICIPAL AIRPORT
722034	12812	KPGD	CHARLOTTE COUNTY AIRPORT
722037	92809	KHWO	NORTH PERRY AIRPORT
722038	12897	KAPF	NAPLES MUNICIPAL AIRPORT
722041	12993	KGAO	SOUTH LAFOURCHE AIRPORT
722042	53978	TX	WOOD COUNTY AIRPORT
722043	3738	KRCZ	ROCKINGHAM AIRPORT
722044	53930	KADH	ADA MUNICIPAL AIRPORT
722046	12898	KTIX	SPACE COAST REGIONAL AIRPORT
722049	92805	KPMP	POMPANO BEACH AIRPARK ARPT
722049	99999	KPMP	POMPANO BEACH AIRPAR
722050	12815	KMCO	ORLANDO INTERNATIONAL AIRPORT
722051	53932	KAQR	ATOKA MUNICIPAL AIRPORT
722052	53933	KAVK	ALVA REGIONAL AIRPORT
722053	12841	KORL	EXECUTIVE AIRPORT
722055	12861	KOCF	OCALA INTERNATIONAL AIRPORT-JIM TAYLOR FIELD
722057	12854	KSFB	ORLANDO SANFORD AIRPORT
722060	13889	KJAX	JACKSONVILLE  INTERNATIONAL AIRPORT
722062	63842	KDQH	DOUGLAS MUNICIPAL AIRPORT
722067	63823	KVQQ	CECIL FIELD AIRPORT
722070	3822	KSAV	SAVANNAH/HILTON HEAD INTL AIRPORT
722073	3727	KCTZ	SAMPSON COUNTY AIRPORT
722074	63840	KCUL	CARMI MINICIPAL AIRPORT
722076	94891	KDNV	VERMILION COUNTY AIRPORT
722078	53938	KDUC	HALLIBURTON FIELD AIRPORT
722079	53888	KEXX	DAVIDSON COUNTY AIRPORT
722080	13880	KCHS	CHARLESTON AFB/INTERNATIONAL AIRPORT
722081	99999	KFDK	FREDERICK AIRPORT
722082	4876	KFEP	ALBERTUS AIRPORT
722090	3875	KLHW	WRIGHT AAF AIRPORT
722091	53940	KGCM	CLAREMORE REGIONAL AIRPORT
722092	53941	KGMJ	GROVE MUNICIPAL AIRPORT
722093	4878	KGOV	GRAYLING ARMY AIRFIELD
722094	53984	KGPM	GRAND PRAIRIE MUNICIPAL AIRPORT
722095	3030	KGUY	GUYMON MUNICIPAL AIRPORT
722097	4936	KHNR	HARLAN MUNICIPAL AIRPORT
722098	64761	KHTO	EAST HAMPTON AIRPORT
722099	53936	KCQB	CHANDLER MUNICIPAL AIRPORT
722101	3039	KCPW	WOLF CREEK PASS AWOS-3 AIRPORT
722104	92806	KSPG	ALBERT WHITTED AIRPORT
722106	12835	KFMY	PAGE FIELD AIRPORT
722107	3056	KGNC	GAINES COUNTY AIRPORT
722108	12894	KRSW	SW FLORIDA INTN AIRPORT
722109	99999	KCNI	CHEROKEE COUNTY AIRPORT
722110	12842	KTPA	TAMPA INTERNATIONAL AIRPORT
722112	53982	KJXI	FOX STEPHENS FIELD - GILMER MINICIPAL AIRPORT
722113	53979	KGYB	GIDDINGS-LEE COUNTY AIRPORT
722114	54901	KCFE	BUFFALO MUNICIPAL AIRPORT
722116	12873	KPIE	ST PETE-CLWTR INTL AIRPORT
722118	482	KVNC	VENICE MUNICIPAL AIRPORT
722119	12883	KLAL	LAKELAND LINDER REGIONAL AIRPORT
722120	12833	KCTY	CROSS CITY AIRPORT
722122	3050	KSNK	WINSTON FIELD AIRPORT
722123	12809	KBOW	BARTOW MUNICIPAL AIRPORT
722124	4998	KHJH	HEBRON MUNICIPAL AIRPORT
722127	4880	KIKK	GREATER KANKAKEE AIRPORT
722129	4939	KJKJ	MOORHEAD MUNICIPAL AIRPORT
722130	13861	KAYS	WAYCROSS-WARE CO. AIRPORT
722131	3713	KJNX	JOHNSTON COUNTY AIRPORT
722132	63801	KJQF	CONCORD REGIONAL AIRPORT
722133	53946	KJSV	SALLISAW MUNICIPAL AIRPORT
722134	63822	KVDI	VIDALIA REGIONAL AIRPORT
722137	13878	KSSI	MALCOLM MC KINNON AIRPORT
722138	63852	KHSA	STENNIS INTERNATIONAL AIRPORT
722140	93805	KTLH	TALLAHASSEE REGIONAL AIRPORT
722141	3731	KLHZ	FRANKLIN COUNTY AIRPORT
722143	53975	KLNC	LANCASTER AIRPORT
722145	4884	KMGN	HARBOR SPRINGS AIRPORT
722147	53817	KMGR	MOULTRIE MUNICIPAL AIRPORT
722148	63824	KVUJ	STANLEY COUNTY AIRPORT
722151	14794	KWST	WESTERLY STATE AIRPORT
722152	53957	KWWR	WEST WOODWARD AIRPORT
722154	53885	KDNN	DALTON MUNICIPAL AIRPORT
722156	53873	KVPC	CARTERSVILLE AIRPORT
722157	4949	KMQB	MACOMB MUNICIPAL AIRPORT
722159	12980	KT65	MID VALLEY AIRPORT
722164	53949	KOKM	OKMULGEE MUNICIPAL AIRPORT
722165	63808	KOLV	OLIVE BRANCH AIRPORT
722166	93845	KVLD	VALDOSTA REGIONAL AIRPORT
722167	3718	KOMH	ORANGE COUNTY AIRPORT
722168	4960	KOVL	OLIVIA REGIONAL AIRPORT
722169	3058	KPEQ	PECOS MUNICIPAL AIRPORT
722169	99999	KPEQ	PECOS MUNICIPAL AIR
722170	3813	KMCN	MIDDLE GEORGIA REGIONAL AIRPORT
722171	4889	KPNT	PONTIAC MUNICIPAL AIRPORT
722172	63810	KPRG	EDGAR COUNTY AIRPORT
722173	53951	KPVJ	PAULS VALLEY MUNI AIRPORT
722174	23097	KPVW	HALE COUNTY AIRPORT
722175	13860	KWRB	ROBINS AFB AIRPORT
722177	63811	KRHP	ANDREWS-MURPHY AIRPORT
722178	53953	KRKR	ROBERT S KERR AIRPORT
722181	13837	KDNL	DANIEL FIELD AIRPORT
722182	4890	KRPJ	ROCHELLE MUNI ARPT-KORITZ FIELD AIRPORT
722183	4972	KRZN	BURNETT COUNTY AIRPORT
722186	4892	KSJX	BEAVER ISLAND AIRPORT
722187	93911	KSNL	SHAWNEE MUNICIPAL AIRPORT
722188	53985	KSRC	SEARCY MUNICIPAL AIRPORT
722189	92815	KSUA	WITHAM FIELD AIRPORT
722191	3721	KSUT	BRUNSWICK COUNTY AIRPORT
722192	23033	KSWW	AVENGER FIELD AIRPORT
722193	3722	KTDF	PERSON COUNTY AIRPORT
722194	4896	KTIP	RANTOUL NATL AVN CNTR-F ELLIOTT FIELD AIRPORT
722196	53863	KPDK	DEKALB-PEACHTREE AIRPORT
722200	12832	KAAF	APALACHICOLA MUNI AIRPORT
722202	12985	KUVA	GARNER FIELD AIRPORT
722204	4996	KSFY	TRI-TOWNSHIP AIRPORT
722208	4224	KORS	ORCAS ISLAND AIRPORT
722209	12986	KPKV	CALHOUN COUNTY AIRPORT
722210	13858	KVPS	EGLIN AFB AIRPORT
722211	94087	KTIF	THOMAS COUNTY AIRPORT
722212	92814	KSGJ	ST AUGUSTINE AIRPORT
722213	12819	KLEE	LEESBURG REGIONAL AIRPORT
722214	3070	KDUX	MOORE COUNTY AIRPORT
722215	13884	KCEW	BOB SIKES AIRPORT
722217	63881	KDBN	W H `BUD` BARRON AIRPORT
722218	356	KCGE	CAMBRIDGE DORCHESTER AIRPORT
722221	444	KDWX	DIXON AIRPORT
722223	13899	KPNS	PENSACOLA REGIONAL AIRPORT
722226	93841	KNSE	WHITING FIELD NAVAL AIR STATION NORTH
722230	13894	KMOB	MOBILE REGIONAL AIRPORT
722231	357	KMNZ	HAMILTON MUNICIPAL AIRPORT
722235	13838	KBFM	MOBILE DOWNTOWN AIRPORT
722241	54925	KLCG	WAYNE MUNICIPAL AIRPORT
722243	3738	KRCZ	RICHMOND COUNTY AIRPORT
722247	54785	KSMQ	SOMERSET AIRPORT
722249	63887	KMWO	HOOK FIELD MUNICIPAL AIRPORT
722250	13829	KLSF	LAWSON AAF AIRPORT
722251	53958	KRSN	RUSTON REGIONAL AIRPORT
722252	54923	KCNB	MYERS FIELD AIRPORT
722253	53992	KBQP	MOREHOUSE MEMORIAL AIRPORT
722255	93842	KCSG	COLUMBUS METRO AIRPORT
722256	64774	KGHG	MARSHFIELD MUNICIPAL AIRPORT - GEORGE HARLOW FIELD
722261	360	KOBE	OKEECHOBEE COUNTY AIRPORT
722265	13821	KMXF	MAXWELL AFB AIRPORT
722267	3878	KTOI	TROY MUNICIPAL AIRPORT
722268	13839	KDHN	DOTHAN REGIONAL AIRPORT
722269	3850	KOZR	CAIRNS ARMY AIRFIELD (FORT RUCKER)
722270	13864	KMGE	DOBBINS AIR RESERVE BASE AIRPORT
722274	54939	KTVK	CENTERVILLE MUNICIPAL AIRPORT
722276	53820	KGZH	MIDDLETON FIELD AIRPORT
722280	13876	KBHM	BIRMINGHAM INTERNATIONAL AIRPORT
722285	3896	KGAD	GADSDEN MUNICIPAL AIRPORT
722291	470	KPMV	PLATTSMOUTH MUNICIPAL AIRPORT
722300	53864	KEET	SHELBY COUNTY AIRPORT
722312	3908	KHDC	HAMMOND MUNICIPAL AIRPORT
722314	53915	KARA	ACADIANA REGIONAL AIRPORT
722315	53917	KNEW	LAKEFRONT AIRPORT
722320	13970	KBTR	BATON ROUGE METRO RYAN FIELD AIRPORT
722322	361	KGLW	GLASGOW MUNICIPAL AIRPORT
722323	362	KGOP	GATESVILLE MUNICIPAL AIRPORT
722324	3071	KMDD	MIDLAND AIRPARK
722324	99999	KMDD	MIDLAND AIRPARK
722331	54941	KIFA	IOWA FALLS MUNICIPAL AIRPORT
722332	54953	KTKV	TOMAHAWK REGIONAL AIRPORT
722333	3069	K04V	SAGUACHE MUNICIPAL AIRPORT
722334	3976	KDRI	BEAUREGARD REGIONAL AIRPORT
722338	12994	KHBV	JIM HOGG COUNTY AIRPORT
722340	13865	KMEI	KEY FIELD AIRPORT
722341	92822	KOMN	ORMOND BEACH MUNICIPAL AIRPORT
722342	54931	KTKC	TRACY MUNICIPAL AIRPORT
722343	54826	KLWA	SOUTH HAVEN AREA REGIONAL AIRPORT
722346	54824	KRNP	OWOSSO COMMUNITY AIRPORT
722350	3940	KJAN	JACKSON INTERNATIONAL AIRPORT
722351	12953	KARM	WHARTON REGIONAL AIRPORT
722354	13927	KHKS	HAWKINS FIELD AIRPORT
722355	93999	KVKS	VICKSBURG MUNICIPAL AIRPORT
722357	3961	KHEZ	HRDY-ANRES FD NTCHZ-ADAMS COUNTY AIRPORT
722361	92808	KEVB	NEW SMYRNA BEACH MUNICIPAL AIRPORT
722362	93937	KSLR	SULPHUR SPRINGS MUNICIPAL AIRPORT
722363	23098	KECU	EDWARDS COUNTY AIRPORT
722364	23903	KUTA	TUNICA MUNICIPAL AIRPORT
722367	363	KRCM	SKYHAVEN AIRPORT
722368	364	KOJA	THOMAS P STAFFORD AIRPORT
722369	365	KTFP	T P MC CAMPBELL AIRPORT
722390	3931	KPOE	POLK ARMY AIRFIELD
722400	3937	KLCH	LAKE CHARLES REGIONAL AIRPORT
722404	99999	KCWF	CHENAULT AIRPARK
722405	13976	KLFT	LAFAYETTE REGIONAL AIRPORT
722406	12927	KHUM	HOUMA-TERREBONNE AIRPORT
722410	12917	KBPT	SOUTHEAST TEXAS REGIONAL AIRPORT
722427	12975	KLVJ	CLOVER FIELD AIRPORT
722429	53910	KDWH	HOOKS MEMORIAL AIRPT
722436	12906	KEFD	ELLINGTON FIELD AIRPORT
722440	12918	KHOU	WILLIAM P. HOBBY AIRPORT
722444	53902	KCXO	MONTGOMERY COUNTY AIRPORT
722446	93987	KLFK	ANGELINA COUNTY AIRPORT
722479	53907	KGKY	ARLINGTON MUNICIPAL AIRPORT
722480	13957	KSHV	SHREVEPORT REGIONAL AIRPORT
722485	13944	KBAD	BARKSDALE AIR FORCE BASE
722486	13942	KMLU	MONROE REGIONAL AIRPORT
722487	13935	KESF	ESLER REGIONAL AIRPORT
722489	53911	KTRL	TERRELL MUNICIPAL AIRPORT
722510	12924	KCRP	CORPUS CHRISTI  INTERNATIONAL AIRPORT
722520	12907	KLRD	LAREDO INTERNATIONAL AIRPORT
722520	12920	KLRD	LAREDO INTL AIRPORT
722520	99999	KLRD	LAREDO INTL AIRPORT
722523	12970	KSSF	STINSON MINICIPAL AIRPORT
722524	12972	KRKP	ARANSAS COUNTY AIRPORT
722525	12920	KLRD	LAREDO AIR FORCE BASE
722527	12976	KLBX	BRAZORIA COUNTY AIRPORT
722530	12921	KSAT	SAN ANTONIO INTERNATIONAL AIRPORT
722533	12962	KHDO	HONDO MUNICIPAL AIRPORT
722535	12909	KSKF	LACKLAND AIR FORCE BASE (KELLY FIELD ANNEX)
722536	12911	KRND	RANDOLPH AFB AIRPORT
722540	13904	KAUS	AUSTIN-BERGSTROM INTL AIRPORT
722542	3999	KBMQ	BURNET MUNICIPAL CRADOCK FIELD AIRPORT
722550	12912	KVCT	VICTORIA REGIONAL AIRPORT
722554	12978	K3T5	FAYETTE RGNL AIR CTR
722555	12935	KPSX	PALACIOS MUNICIPAL AIRPORT
722556	12925	KNIR	CHASE NAVAL AIR STATION
722560	13959	KACT	WACO REGIONAL AIRPORT
722570	3933	KHLR	HOOD AAF AIRPORT
722575	3972	KILE	KILLEEN MUNICIPAL AIRPORT
722576	3902	KGRK	ROBERT GRAY AFF AIRPORT
722580	13960	KDAL	DALLAS LOVE FIELD AIRPORT
722585	93901	KNBE	NAVAL AIR STATION OPERATIONS
722587	93955	KPRX	COX FIELD AIRPORT
722588	13926	KGVT	MAJORS AIRPORT
722589	3991	KDTO	DENTON MUNICIPAL AIRPORT
722593	3985	KFWS	FORT WORTH SPINKS AIRPORT
722595	13911	KNFW	FORT WORTH NAVAL AIR STATION JRB/CARSWELL FIELD
722597	93985	KMWL	MINERAL WELLS AIRPORT
722598	3970	KADS	ADDISON AIRPORT
722599	3971	KRBD	DALLAS EXECUTIVE AIRPORT
722600	3969	KSEP	CLARK FIELD MUNI AIRPORT
722610	22010	KDRT	DEL RIO INTERNATIONAL AIRPORT
722615	22001	KDLF	LAUGHLIN AFB AIRPORT
722616	3032	K6R6	TERRELL COUNTY AIRPORT
722637	93046	KHHF	HEMPHILL COUNTY AIRPORT
722640	93035	KMRF	MARFA MUNICIPAL AIRPORT
722650	23023	KMAF	MIDLAND INTERNATIONAL AIRPORT
722656	23040	KINK	WINKLER COUNTY AIRPORT
722660	13962	KABI	ABILENE REGIONAL AIRPORT
722666	93943	KBWD	BROWNWOOD REGIONAL AIRPORT
722670	23042	KLBB	LUBBOCK INTERNATIONAL AIRPORT
722676	3035	KATS	ARTESIA MUNICIPAL AIRPORT
722680	23009	KROW	ROSWELL INTERNATIONAL AIR CENTER AP
722683	93083	KSRR	SIERRA BLANCA RGNL AIRPORT
722686	23008	KCVS	CANNON AFB AIRPORT
722687	93033	KCNM	CAVERN CITY AIR TRML ARPT
722688	93034	KHOB	LEA COUNTY REGIONAL AIRPORT
722689	23077	KCVN	CLOVIS MUNICIPAL AIRPORT
722691	366	KCWV	CLAXTON EVANS COUNTY AIRPORT
722692	367	KHWY	WARRENTON FAUQUIER AIRPORT
722693	93097	KALM	ALAMOGORDO-WHITE SANDS RGL AIRPORT
722695	93041	KLRU	LAS CRUCES INTL AIRPORT
722700	23044	KELP	EL PASO INTERNATIONAL AIRPORT
722721	93063	KSVC	GRANT COUNTY AIRPORT
722725	23078	KDMN	DEMING MUNICIPAL AIRPORT
722730	3124	KFHU	SIERRA VISTA MUNICIPAL-LIBBY AAF AIRPORT
722740	23160	KTUS	TUCSON INTERNATIONAL AIRPORT
722745	23109	KDMA	DAVIS-MONTHAN AFB AIRPORT
722747	93084	KSAD	SAFFORD REGIONAL AIRPORT
722749	53128	KCHD	CHANDLER MUNICIPAL AIRPORT
722764	3029	KRQE	WINDOW ROCK AIRPORT
722780	23183	KPHX	PHOENIX SKY HARBOR INTL AIRPORT
722783	3185	KFFZ	FALCON FIELD AIRPORT
722785	23111	KLUF	LUKE AFB AIRPORT
722786	23104	KIWA	WILLIAMS GATEWAY AIRPORT
722787	53126	KGEU	GLENDALE MUNICIPAL AIRPORT
722788	3186	KGYR	PHOENIX GOODYEAR AIRPORT
722789	3192	KSDL	SCOTTSDALE AIRPORT
722800	23195	KYUM	YUMA MARINE CORPS AIR STATION/YUMA INTL AIRPORT
722800	99999	KYUM	YUMA INTL AIRPORT
722813	53146	KALK	PIONEER AIRFIELD
722857	368	K96D	WALHALLA MUNICIPAL AIRPORT
722860	23119	KRIV	MARCH AIR RESERVE BASE
722866	23122	KSBD	SAN BERNARDINO INTERNATIONAL AIRPORT
722868	93138	KPSP	PALM SPRINGS INTL AIRPORT
722885	93197	KSMO	SANTA MONICA MUNI AIRPORT
722886	23130	KVNY	VAN NUYS AIRPORT
722887	3180	KPOC	BRACKETT FIELD AIRPORT
722895	23243	KLPC	LOMPOC AIRPORT
722899	3179	KCNO	CHINO AIRPORT
722900	23188	KSAN	SAN DIEGO INTERNATIONAL AIRPORT
722903	3131	KMYF	MONTGOMERY FIELD AIRPORT
722907	53143	KSEE	GILLESPIE FIELD AIRPORT
722920	23191	KAVX	CATALINA AIRPORT
722926	3154	KNFG	MARINE CORPS AIR STATION
722927	3177	KCRQ	MCCLELLAN-PALOMAR AIRPORT
722928	369	KNXF	MCOLF CAMP PENDLETON RED BEACH AIRPORT
722928	99999	KNXF	MCOLF CAMP PENDLETON (RED BEACH) AIRPORT
722931	93107	KNKX	MARINE CORPS AIR STATION
722950	23174	KLAX	LOS ANGELES INTERNATIONAL AIRPORT
722953	3183	KMHV	MOJAVE AIRPORT
722955	3122	KTOA	TORRANCE AIRPORT
722955	3174	KTOA	ZAMPERINI FIELD AIRPORT
722970	23129	KLGB	LONG BEACH / DAUGHERTY FIELD / AIRPORT
722972	63878	K3LF	LITCHFIELD MUNICIPAL AIRPORT
722975	53141	KSLI	LOS ALAMITOS AAF AIRPORT
723010	3810	KHKY	HICKORY REGIONAL AIRPORT
723030	13714	KPOB	POPE AFB AIRPORT
723034	93747	KHFF	MACKALL AAF AIRPORT
723046	13766	KMQI	DARE COUNTY REGIONAL AIRPORT
723065	13783	KPGV	PITT-GREENVILLE AIRPORT
723066	13713	KGSB	SEYMOUR-JOHNSON AFB AIRPORT
723069	93753	KOAJ	ALBERT J ELLIS AIRPORT
723079	93796	KASJ	TRI-COUNTY AIRPORT
723080	13737	KORF	NORFOLK INTERNATIONAL AIRPORT
723083	13763	KFKN	FRANKLIN MUNICIPAL-JOHN BEVERLY ROSE AIRPORT
723087	93735	KFAF	FELKER ARMY AIRFIELD
723095	93719	KEWN	CRAVEN COUNTY REG AIRPORT
723098	93798	KCJR	CULPEPER REGIONAL AIRPORT
723100	13883	KCAE	COLUMBIA METROPOLITAN AIRPORT
723105	3858	KMMT	MCENTIRE AIR NATIONAL GUARD STATION
723106	13744	KFLO	FLORENCE REGIONAL AIRPORT
723109	93782	KMEB	LAURINBURG-MAXTON AIRPORT
723110	13873	KAHN	ATHENS/BEN EPPS AIRPORT
723116	3742	KUDG	DARLINGTON COUNTY JETPORT AIRPORT
723120	3870	KGSP	GREENVILLE-SPARTANBURG INTL AIRPORT
723122	63889	KGYH	DONALDSON CENTER AIRPORT
723123	14886	KLNL	Kings Land O' Lakes Airport
723124	53874	KGRD	GREENWOOD COUNTY AIRPORT
723126	93804	KSPA	SPARTANBURG DOWNTOWN MEMORIAL AIRPORT
723139	93729	KHSE	BILLY MITCHELL AIRPORT
723143	3720	KSOP	MOORE COUNTY AIRPORT
723146	53892	KGEV	ASHE COUNTY AIRPORT
723147	53870	KAKH	GASTONIA MUNICIPAL AIRPORT
723148	63859	KMRN	MORGANTON-LENOIR AIRPORT
723150	3812	KAVL	ASHEVILLE REGIONAL AIRPORT
723156	63812	KRUQ	ROWAN COUNTY AIRPORT
723160	13870	KAMG	BACON COUNTY AIRPORT
723165	63821	KUKF	WILKES COUNTY AIRPORT
723170	13723	KGSO	PIEDMONT TRIAD INTERNATIONAL AIRPORT
723177	63807	KMWK	MOUNT AIRY/SURRY CO ARPT
723177	99999	KMWK	MT AIRY SURRY CO
723181	13877	KTRI	BRISTOL TRI CITY AIRPORT
723190	93846	KAND	ANDERSON REGIONAL AIRPORT
723193	93807	KINT	SMITH REYNOLDS AIRPORT
723194	53872	KEQY	MONROE AIRPORT
723194	99999	KEQY	MONROE AIRPORT
723200	93801	KRMG	RICHARD B RUSSELL AIRPORT
723230	3856	KHSV	HUNTSVILLE INTL/C.T.JONES FIELD AIRPORT
723231	63883	KHUA	REDSTONE ARMY AIRFIELD
723235	13896	KMSL	NORTH WEST ALABAMA REGIONAL AIRPORT
723240	13882	KCHA	LOVELL FIELD AIRPORT
723249	463	KMRC	MAURY COUNTY AIRPORT
723260	13891	KTYS	MC GHEE TYSON AIRPORT
723270	13897	KBNA	NASHVILLE INTERNATIONAL AIRPORT
723273	13827	KMQY	SMYRNA AIRPORT
723274	372	KSRB	UPPER CUMBERLAND REGIONAL AIRPORT
723280	3894	KCKV	OUTLAW FIELD AIRPORT
723284	93839	KNQA	MILLINGTON MUNICIPAL AIRPORT
723306	13825	KCBM	COLUMBUS AFB AIRPORT
723320	93862	KTUP	TUPELO REGIONAL AIRPORT
723340	13893	KMEM	MEMPHIS INTERNATIONAL AIRPORT
723350	13877	KTRI	TRI-CITIES REGIONAL TN/VA AIRPORT
723400	3952	KLZK	NORTH LITTLE ROCK AIRPORT
723403	13963	KLIT	ADAMS FIELD AIRPORT
723405	3930	KLRF	LITTLE ROCK AFB AIRPORT
723408	13814	KBYH	ARKANSAS INTERNATIONAL AIRPORT
723409	53869	KHKA	BLYTHEVILLE MUNI AIRPORT
723415	3962	KHOT	MEMORIAL FIELD AIRPORT
723417	93988	KPBF	GRIDER FIELD AIRPORT
723418	13977	KTXK	TEXARKANA REGIONAL AIRPORT-WEBB FIELD
723425	373	KCDH	HARRELL FIELD AIRPORT
723429	53920	KRUE	MUNICIPAL AIRPORT
723439	53918	KBPK	OZARK REGIONAL AIRPORT
723440	13964	KFSM	FORT SMITH REGIONAL AIRPORT
723441	54921	KBVN	ALBION MUNICIPAL AIRPORT
723443	53955	KSLG	SMITH FIELD AIRPORT
723444	3978	KVBT	BENTONVILLE MUNI/LOUIS M THADEN FIELD AIRPORT
723445	93993	KFYV	DRAKE FIELD AIRPORT
723447	3918	KFLP	MARION COUNTY RGNL AIRPORT
723450	13971	KHRO	BOONE COUNTY AIRPORT
723495	13987	KJLN	JOPLIN REGIONAL AIRPORT
723520	13902	KLTS	ALTUS AFB AIRPORT
723525	93986	KHBR	HOBART MUNICIPAL AIRPORT
723526	3932	KCSM	CLINTON-SHERMAN AIRPORT
723528	3981	KFDR	FREDERICK MUNICIPAL AIRPT
723530	13967	KOKC	WILL ROGERS WORLD AIRPORT
723535	13909	KEND	VANCE AIR FORCE BASE
723536	53986	KWDG	ENID WOODRING REGIONAL AIRPORT
723537	53913	KGOK	GUTHRIE MUNICIPAL AIRPORT
723540	13919	KTIK	TINKER AFB AIRPORT
723544	3954	KPWA	WILEY POST AIRPORT
723550	13945	KFSI	HENRY POST AAF AIRPORT
723555	93940	KADM	ARDMORE MUNICIPAL AIRPORT
723556	93953	KMKO	DAVIS FIELD AIRPORT
723560	13968	KTUL	TULSA INTERNATIONAL AIRPORT
723565	3959	KBVO	BARTLESVILLE MUNICIPAL AIRPORT
723570	3948	KOUN	UNIVERSITY OF OKLAHOMA WESTHEIMER AIRPORT
723600	23051	KCAO	CLAYTON  MUNICIPAL AIRPARK AIRPORT
723625	93057	KGNT	GRANTS-MILAN MUNI AIRPORT
723626	3737	KONX	CURRITUCK COUNTY AIRPORT
723627	23081	KGUP	GALLUP MUNICIPAL AIRPORT
723628	93942	KBBD	CURTIS FIELD AIRPORT
723629	53998	KORG	ORANGE COUNTY AIRPORT
723630	23047	KAMA	AMARILLO RICK HUSBAND INTL AIRPORT
723635	3024	KBGD	HUTCHINSON COUNTY AIRPORT
723647	3034	KAEG	DOUBLE EAGLE II AIRPORT
723650	23050	KABQ	ALBUQUERQUE INTL SUNPORT AIRPORT
723654	93091	KLAM	LOS ALAMOS AIRPORT
723656	23049	KSAF	SANTA FE MUNICIPAL AIRPORT
723663	3012	KSKX	TAOS REGIONAL AIRPORT
723671	23051	KCAO	CLAYTON MUNICIPAL AIRPARK
723700	93167	KIGM	KINGMAN AIRPORT
723710	3162	KPGA	PAGE MUNICIPAL AIRPORT
723740	23194	KINW	WINSLOW-LINDBERGH REGIONAL AIRPORT
723747	3101	KSOW	SHOW LOW MUNICIPAL AIRPORT
723750	3103	KFLG	FLAGSTAFF PULLIAM AIRPORT
723750	99999	KFLG	FLAGSTAFF AIRPORT
723754	93027	KSJN	ST JOHNS INDUS AIRPK ARPT
723756	375	KSEZ	SEDONA AIRPORT
723758	54928	KRCX	RUSK COUNTY AIRPORT
723759	53990	K4O4	MC CURTAIN COUNTY REGIONAL AIRPORT
723761	23901	KRWV	CALDWELL MUNICIPAL AIRPORT
723762	93244	KIZA	SANTA YNEZ AIRPORT
723788	53135	KIFP	LAUGHLIN/BULLHEAD INTERNATIONAL AIRPORT
723805	23179	KEED	NEEDLES AIRPORT
723810	23114	KEDW	EDWARDS AIR FORCE BASE
723815	23161	KDAG	BARSTOW-DAGGETT AIRPORT
723816	3159	KWJF	GENERAL WILLIAM J. FOX AIRFIELD AIRPORT
723825	23131	KVCV	SOUTHERN CALIFORNIA LOGISTICS AIRPORT
723826	93194	KIYK	INYOKERN AIRPORT
723840	23155	KBFL	MEADOWS FIELD AIRPORT
723860	23169	KLAS	MCCARRAN INTERNATIONAL AIRPORT
